slat,slon,pdate
43.04282,-70.2687,2016-05-19 10:59:11
42.38929,-69.53676999999999,2016-07-13 16:42:05
43.15949,-69.35259,2016-10-27 12:29:24
42.54253,-70.12584,2017-04-27 16:32:17
42.508190000000006,-70.24494,2016-04-25 22:27:00
42.56888,-70.25796,2016-05-19 13:05:37
42.2446,-70.31162,2016-06-22 22:40:13
42.42653,-69.51807,2016-07-13 17:52:28
43.082209999999996,-69.45014,2016-10-27 14:58:53
42.56512,-70.1768,2017-04-27 17:59:16
42.15523,-70.32714,2017-10-19 10:37:32
42.47307,-70.27396,2016-04-25 23:58:10
42.53345,-70.22409999999999,2016-05-19 14:56:17
42.04727,-70.0055,2016-06-23 09:35:00
42.460190000000004,-69.52733,2016-07-13 18:59:46
43.00027,-70.09944,2017-04-27 19:53:06
42.18468,-70.27951,2017-10-19 12:25:50
42.494319999999995,-70.23749,2016-05-19 16:58:05
42.21988,-70.01988999999999,2016-06-23 12:38:15
42.48131,-69.57358,2016-07-13 20:29:49
42.39479,-69.4477,2016-10-30 14:13:19
42.544880000000006,-70.04405,2017-04-27 21:32:42
42.23523,-70.31665,2017-10-19 13:44:13
43.31714,-69.37273,2016-04-28 14:48:00
42.51459,-70.3183,2016-05-19 18:58:39
42.2786,-70.05042,2016-06-23 15:09:45
42.51223,-69.58696,2016-07-13 21:38:53
42.39549,-69.35338,2016-10-30 15:57:45
42.54147,-69.59765999999999,2017-04-27 22:50:41
42.2063,-70.36538,2017-10-19 15:32:43
43.28501,-69.57715,2016-04-28 18:15:55
42.49795,-70.40368000000001,2016-05-19 20:18:52
42.46465,-69.37452,2016-10-30 18:19:14
42.59718,-69.58178,2017-04-28 11:20:10
42.28658,-70.37845,2017-10-19 17:30:48
43.27371,-69.35611,2016-04-28 21:51:13
43.31932,-69.37122000000001,2016-07-14 11:28:47
42.492020000000004,-69.41099,2016-10-30 19:34:44
43.0317,-69.51383,2017-04-28 13:02:09
42.2406,-70.44207,2017-10-19 20:01:18
43.20884,-69.45335,2016-04-29 11:41:25
42.31747,-70.17332999999999,2016-06-23 19:14:04
43.01099,-69.41537,2017-04-28 15:01:33
43.22864,-69.39926,2016-04-29 13:51:24
42.3318,-69.55835,2016-05-24 21:18:59
43.27254,-69.40443,2016-07-14 14:38:06
42.563370000000006,-69.5737,2016-11-05 15:04:09
43.016459999999995,-69.35132,2017-04-28 16:27:57
42.153800000000004,-70.20589,2017-10-27 14:58:55
43.178140000000006,-69.53253,2016-04-29 16:26:15
42.368190000000006,-69.52346,2016-05-24 22:34:26
43.20715,-69.53285,2016-07-14 17:48:46
43.08866,-69.36538999999999,2016-11-05 18:16:09
43.04414,-69.39299,2017-04-28 18:13:11
42.17666,-70.13271,2017-10-27 16:38:58
43.15813,-70.07939,2016-04-29 20:10:49
43.17875,-69.33373,2016-05-25 09:29:00
43.185810000000004,-69.55323,2016-07-14 19:55:39
43.13716,-69.52776,2017-04-28 20:55:15
42.22692,-69.59754,2017-10-27 19:08:07
43.20829,-69.42924,2016-05-25 11:43:25
42.22463,-70.15868999999999,2016-06-27 11:58:30
43.15884,-69.33681,2016-11-05 20:06:13
43.28201,-69.43606,2017-04-29 10:53:57
43.20752,-69.52163,2016-05-25 13:20:24
42.36548,-70.01399,2016-06-27 15:21:36
43.23888,-69.44751000000001,2017-04-29 12:07:20
43.28598,-69.5462,2016-05-25 15:22:20
42.41149,-70.00425,2016-06-27 16:33:30
43.23847,-69.40049,2016-11-06 15:51:58
43.20188,-69.45799,2017-04-29 13:17:09
42.4805,-70.29887,2016-04-30 14:42:10
42.431999999999995,-69.54939999999999,2016-06-27 18:06:35
43.182629999999996,-69.4089,2016-11-06 17:47:13
43.19323,-69.52658000000001,2017-04-29 14:45:35
42.41246,-70.17991,2017-11-01 14:51:55
43.438689999999994,-69.30633,2016-05-25 20:45:43
42.47746,-69.57063,2016-06-27 19:26:05
43.27186,-69.54242,2016-11-06 21:12:16
43.24175,-70.03227,2017-04-29 16:53:50
42.46133,-70.2185,2017-11-01 16:18:29
43.170469999999995,-70.03385,2016-05-26 11:58:07
42.516189999999995,-70.16915,2016-06-27 22:53:08
43.18406,-70.03008,2016-11-07 14:54:27
43.185230000000004,-69.58279,2016-11-07 17:04:31
43.22477,-70.06239,2017-04-29 19:55:48
42.536030000000004,-70.23123,2017-11-02 13:36:40
42.46737,-70.40364,2016-06-28 11:01:17
43.03938,-70.19069,2016-11-07 20:42:00
43.20947,-70.04736,2017-04-29 21:06:41
42.486180000000004,-70.43802,2017-11-02 16:31:16
42.493249999999996,-70.27194,2016-06-28 13:14:53
42.57629,-70.2522,2016-11-08 14:14:29
42.399049999999995,-70.14094,2016-06-28 16:07:56
42.51374,-70.32234,2016-11-08 16:53:14
43.12787,-70.15903,2017-04-30 11:44:40
42.4431,-70.30763,2017-11-02 20:38:04
42.38046,-70.30039,2016-06-28 18:20:26
42.44374,-70.35412000000001,2016-11-08 19:06:09
43.092439999999996,-70.18786,2017-04-30 12:44:25
43.04448,-70.21995,2017-04-30 13:58:06
42.23469,-70.22099,2017-11-12 11:49:51
42.27489,-70.16198,2017-11-12 13:14:42
42.077209999999994,-70.33802,2017-05-03 10:27:48
42.259769999999996,-69.52282,2016-11-14 13:58:48
41.54081,-70.28097,2017-05-03 12:53:10
42.24577,-69.40665,2016-11-14 16:05:54
41.54903,-70.22453999999999,2017-05-03 14:07:39
42.29469,-70.09204,2017-11-12 19:10:31
42.2528,-69.35974,2016-11-14 17:18:12
41.532939999999996,-70.14967,2017-05-03 15:45:17
42.35344,-69.33972,2016-11-14 19:34:32
42.039049999999996,-70.18741,2017-05-03 17:53:23
43.02322,-69.33541,2016-11-15 11:27:21
42.12253,-70.03178,2017-05-03 20:37:13
41.58451,-70.09255,2017-12-02 14:39:09
42.55631,-69.31734,2016-11-15 13:11:20
42.061400000000006,-70.08484,2017-05-03 22:36:59
41.55453000000001,-70.20716,2017-12-02 16:24:07
42.525929999999995,-69.44029,2016-11-15 15:13:44
42.18913,-70.05409,2017-05-04 11:30:54
41.52659,-70.28491,2017-12-02 18:11:27
42.486239999999995,-69.3937,2016-11-15 16:39:50
42.22654000000001,-70.00255,2017-05-04 12:51:12
42.00965,-70.33328,2017-12-02 19:41:54
42.47081,-69.45264,2016-11-15 18:15:49
42.25296,-70.11398,2017-05-04 15:02:50
42.21059,-70.22497,2017-05-04 16:58:03
42.14612,-70.31644,2017-12-03 11:43:19
42.19289,-70.18603,2017-05-04 17:58:18
42.12791,-70.27435,2017-12-03 12:47:15
42.06734,-70.25001,2016-11-19 12:43:48
42.12688,-70.23081,2017-05-04 19:35:00
42.10552,-70.19899000000001,2017-12-03 14:26:22
42.03722,-70.19796000000001,2016-11-19 14:05:59
42.16792,-70.3127,2017-05-04 21:17:17
42.060500000000005,-70.15172,2017-12-03 16:03:15
42.15301,-70.17779,2017-12-03 18:03:35
41.571940000000005,-70.16036,2016-11-19 16:14:36
42.20604,-70.22187,2017-12-03 19:30:34
42.57654,-70.08066,2017-05-09 16:19:02
41.53323,-70.11175,2016-11-19 17:43:17
43.01232,-70.0271,2017-05-09 17:31:24
42.36794,-70.23247,2017-12-07 12:58:26
41.52522,-70.20128,2016-11-19 19:09:32
43.04148,-70.07521,2017-05-09 18:49:52
43.0475,-70.11043,2017-05-09 19:53:09
42.4262,-70.1977,2017-12-07 15:42:34
43.05207,-70.18109,2017-05-09 21:19:21
42.501999999999995,-69.58549,2017-12-07 18:48:09
43.03728,-70.24276,2017-05-09 22:55:11
42.45779,-69.59806999999999,2017-12-07 20:42:16
42.197700000000005,-70.19947,2016-11-25 12:39:29
